Gold_IRR,Date,USD_IRR,Ounce_USD,Oil_USD
63098000.0,2025-05-16,823350.0,3182.0,65.41000366210938
64347000.0,2025-05-14,831100.0,3181.39990234375,66.08999633789062
64605000.0,2025-05-13,832100.0,3240.300048828125,66.62999725341797
65822000.0,2025-05-12,835000.0,3220.0,64.95999908447266
65411000.0,2025-05-11,834900.0,3335.39990234375,63.90999984741211
66482000.0,2025-05-10,831950.0,3335.39990234375,63.90999984741211
67189000.0,2025-05-09,835500.0,3335.39990234375,63.90999984741211
66958000.0,2025-05-07,830600.0,3381.39990234375,61.119998931884766
66683000.0,2025-05-06,820500.0,3411.39990234375,62.150001525878906
66889000.0,2025-05-05,824650.0,3311.300048828125,60.22999954223633
67798000.0,2025-05-04,844400.0,3231.89990234375,61.290000915527344
68068000.0,2025-05-03,858700.0,3231.89990234375,61.290000915527344
67759000.0,2025-05-02,856900.0,3231.89990234375,61.290000915527344
64174000.0,2025-04-30,819450.0,3305.0,63.119998931884766
64869000.0,2025-04-29,813900.0,3318.800048828125,64.25
64910000.0,2025-04-28,809650.0,3332.5,65.86000061035156
65347000.0,2025-04-27,812650.0,3282.39990234375,66.87000274658203
66940000.0,2025-04-26,827000.0,3282.39990234375,66.87000274658203
66531000.0,2025-04-25,823600.0,3282.39990234375,66.87000274658203
65065000.0,2025-04-22,808750.0,3400.800048828125,67.44000244140625
65693000.0,2025-04-21,808350.0,3406.199951171875,66.26000213623047
66330000.0,2025-04-20,819750.0,3326.60009765625,65.8499984741211
65543000.0,2025-04-19,827900.0,3326.60009765625,65.8499984741211
65644000.0,2025-04-18,831900.0,3326.60009765625,65.8499984741211
68710000.0,2025-04-16,855950.0,3326.60009765625,65.8499984741211
69754000.0,2025-04-15,877000.0,3218.699951171875,64.66999816894531
67332000.0,2025-04-14,879800.0,3204.800048828125,64.87999725341797
67579000.0,2025-04-13,880800.0,3222.199951171875,64.76000213623047
66432000.0,2025-04-12,859900.0,3222.199951171875,64.76000213623047
73782000.0,2025-04-11,962150.0,3222.199951171875,64.76000213623047
76398000.0,2025-04-09,1008900.0,3056.5,65.4800033569336
75431000.0,2025-04-08,999700.0,2968.39990234375,62.81999969482422
73644000.0,2025-04-07,997950.0,2951.300048828125,64.20999908447266
78236000.0,2025-04-06,1055550.0,3012.0,65.58000183105469
79863000.0,2025-04-05,1045200.0,3012.0,65.58000183105469
77105000.0,2025-04-04,1025650.0,3012.0,65.58000183105469
82382000.0,2025-04-02,1027800.0,3139.89990234375,74.94999694824219
81817000.0,2025-03-29,1027800.0,3086.5,73.62999725341797
82814000.0,2025-03-28,1038950.0,3086.5,73.62999725341797
81142000.0,2025-03-26,1021900.0,3020.89990234375,73.79000091552734
79949000.0,2025-03-25,1019200.0,3023.699951171875,73.0199966430664
79388000.0,2025-03-24,1017850.0,3013.10009765625,73.0
81094000.0,2025-03-17,977800.0,3000.0,71.06999969482422
76978000.0,2025-03-16,943200.0,2994.5,70.58000183105469
73794000.0,2025-03-15,931300.0,2994.5,70.58000183105469
68713000.0,2025-03-14,911350.0,2994.5,70.58000183105469
68110000.0,2025-03-12,923050.0,2939.10009765625,70.94999694824219
67258000.0,2025-03-11,926800.0,2912.89990234375,69.55999755859375
66746000.0,2025-03-10,922850.0,2891.0,69.27999877929688
67341000.0,2025-03-09,923850.0,2904.699951171875,70.36000061035156
67182000.0,2025-03-08,922100.0,2904.699951171875,70.36000061035156
66358000.0,2025-03-07,912200.0,2904.699951171875,70.36000061035156
63786000.0,2025-03-05,891700.0,2915.300048828125,69.30000305175781
